Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count
2022/07/03 13:48:15.1931,22.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.11,8.03,49.3,13.16,2022/07/03,13:18:39,-51.2212047,71.1414019,-3.887,13
2022/07/03 13:48:15.2186,22.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.14,7.85,50.1,12.99,2022/07/03,13:18:40,-51.2212047,71.141401,-4.053,13
2022/07/03 13:48:15.2341,22.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.13,8.12,51.4,12.84,2022/07/03,13:18:40,-51.2212047,71.141401,-4.053,13
2022/07/03 13:48:15.2351,22.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.13,8.12,51.4,12.84,2022/07/03,13:18:41,-51.2211994,71.1414023,-3.424,13
2022/07/03 13:48:15.2655,22.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.06,8.15,51.5,12.73,2022/07/03,13:18:42,-51.221196,71.1414031,-3.217,13
2022/07/03 13:48:15.2916,22.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.06,8.29,53.2,12.66,2022/07/03,13:18:43,-51.2211956,71.1414044,-2.547,13
2022/07/03 13:48:15.3177,22.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.02,8.45,51.9,12.56,2022/07/03,13:18:44,-51.2211927,71.1414068,-1.962,14
2022/07/03 13:48:15.3457,22.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.01,7.79,51.7,12.37,2022/07/03,13:18:45,-51.2211936,71.1414096,-1.349,13
2022/07/03 13:48:15.3703,22.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.04,7.56,52.1,12.22,2022/07/03,13:18:46,-51.221194,71.1414091,-1.395,14
2022/07/03 13:48:15.3971,22.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.92,7.53,52.7,12.09,2022/07/03,13:18:47,-51.2211967,71.1414108,-1.5,14
2022/07/03 13:48:15.4224,22.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.85,7.55,53.1,11.94,2022/07/03,13:18:48,-51.2211951,71.1414048,-2.567,14
2022/07/03 13:48:15.4487,22.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.75,7.54,53.8,11.84,2022/07/03,13:18:49,-51.2211923,71.1414023,-2.107,14
2022/07/03 13:48:15.4744,22.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.74,7.66,54.4,11.72,2022/07/03,13:18:50,-51.2211928,71.1414005,-2.102,14
2022/07/03 13:48:15.5002,22.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.57,7.54,54.6,11.61,2022/07/03,13:18:51,-51.2211905,71.1413996,-2.339,14
2022/07/03 13:48:15.5266,22.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.41,7.54,54.6,11.61,2022/07/03,13:18:51,-51.2211905,71.1413996,-2.339,14
2022/07/03 13:48:15.5276,22.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.41,7.4,55,11.49,2022/07/03,13:18:52,-51.2211882,71.141399,-2.132,14
2022/07/03 13:48:15.5527,22.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.2,7.34,55.4,11.37,2022/07/03,13:18:53,-51.2211912,71.1413995,-1.617,14
2022/07/03 13:48:15.5786,22.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.18,7.29,55.8,11.37,2022/07/03,13:18:53,-51.2211912,71.1413995,-1.617,14
2022/07/03 13:48:15.5796,22.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.18,7.29,55.8,11.27,2022/07/03,13:18:54,-51.2211977,71.1414039,0.337,14
2022/07/03 13:48:15.6045,22.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.02,7.26,56.3,11.18,2022/07/03,13:18:55,-51.2212006,71.1414034,1.079,13
2022/07/03 13:48:15.6296,22.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.82,7.22,56.7,11.08,2022/07/03,13:18:56,-51.2212044,71.141404,2.112,14
2022/07/03 13:48:15.6554,23.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.66,7.23,57.2,10.98,2022/07/03,13:18:57,-51.2212174,71.1414094,4.412,13
2022/07/03 13:48:15.6817,23.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.61,7.22,57.4,10.92,2022/07/03,13:18:58,-51.2212256,71.1414119,6.133,12
2022/07/03 13:48:15.7078,23.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.4,7.23,57.8,10.83,2022/07/03,13:18:59,-51.2212304,71.1414154,8.15,13
2022/07/03 13:48:15.7341,23.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.28,7.22,58.2,10.77,2022/07/03,13:19:00,-51.2212314,71.1414168,9.619,13
2022/07/03 13:48:15.7610,23.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.12,7.2,58.3,10.7,2022/07/03,13:19:01,-51.221225,71.1414179,10.811,13
2022/07/03 13:48:15.7867,23.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.97,7.19,58.6,10.63,2022/07/03,13:19:02,-51.2212163,71.1414182,12.157,14
2022/07/03 13:48:15.8126,23.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.86,7.17,58.8,10.58,2022/07/03,13:19:03,-51.2212196,71.1414192,13.704,14
2022/07/03 13:48:15.8385,23.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.74,7.17,59,10.55,2022/07/03,13:19:04,-51.221222,71.1414137,13.851,14
2022/07/03 13:48:15.8651,23.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.6,7.17,58.5,10.48,2022/07/03,13:19:05,-51.2212193,71.1414132,15.285,14
2022/07/03 13:48:15.8905,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.51,7.18,58.8,10.44,2022/07/03,13:19:06,-51.2212187,71.141411,15.549,13
2022/07/03 13:48:15.9167,23.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.38,7.15,58.7,10.41,2022/07/03,13:19:07,-51.2212196,71.141413,16.287,14
2022/07/03 13:48:15.9436,23.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.25,7.14,59,10.37,2022/07/03,13:19:08,-51.2212178,71.141411,17.355,14
2022/07/03 13:48:15.9626,23.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.09,7.17,58.2,10.35,2022/07/03,13:19:09,-51.221217,71.1414087,17.659,13
2022/07/03 13:48:15.9940,23.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.97,7.21,56.7,10.32,2022/07/03,13:19:10,-51.2212249,71.1414126,19.742,14
2022/07/03 13:48:16.0197,23.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.85,7.26,55.8,10.3,2022/07/03,13:19:11,-51.2212353,71.1414097,20.993,14
