Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count
2022/07/09 01:50:33.4167,61.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.86,12.37,36.9,14.81,2022/07/08,16:32:20,-51.1480583,71.1606874,693.717,10
2022/07/09 01:50:33.4478,61.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.89,11.91,36.8,14.82,2022/07/08,16:32:21,-51.1480645,71.1606871,694.21,10
2022/07/09 01:50:33.4658,61.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.88,11.78,36.3,14.83,2022/07/08,16:32:22,-51.1480705,71.1606865,694.745,10
2022/07/09 01:50:33.4996,61.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.85,11.71,36.4,14.86,2022/07/08,16:32:23,-51.1480752,71.1606863,694.926,10
2022/07/09 01:50:33.5158,61.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.87,12.66,36.7,15.01,2022/07/08,16:32:24,-51.1480772,71.1606853,695.092,10
2022/07/09 01:50:33.5498,62.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.87,12.51,36.4,15.04,2022/07/08,16:32:25,-51.1480814,71.1606845,695.586,11
2022/07/09 01:50:33.5664,62.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.87,12.45,36.4,15.08,2022/07/08,16:32:26,-51.1480809,71.1606825,695.455,11
2022/07/09 01:50:33.6037,62.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.84,12.18,36.4,15.07,2022/07/08,16:32:27,-51.148086,71.1606826,695.895,11
2022/07/09 01:50:33.6166,62.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.86,12.59,36.3,15.15,2022/07/08,16:32:28,-51.1480871,71.1606822,695.71,11
2022/07/09 01:50:33.6493,62.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.84,11.46,36,15.01,2022/07/08,16:32:29,-51.1480885,71.1606818,695.856,11
