Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022/07/05 15:05:56.6817,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.64,21.01,27.1,21.13,2015/10/18,00:00:41,0,0,-17,0,
2022/07/05 15:05:57.3520,0.670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,11.13,56,11.74,2022/07/04,00:18:40,-51.2196037,71.1399201,-46.236,4,
2022/07/05 15:05:57.3784,0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,11.12,56,11.75,2022/07/04,00:18:41,-51.219648,71.1399506,-47.677,4,
2022/07/05 15:05:57.4043,0.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,11.14,56.1,11.75,2022/07/04,00:18:42,-51.2196756,71.1399502,-45.034,4,
2022/07/05 15:05:57.4302,0.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.24,11.1,56.1,11.74,2022/07/04,00:18:43,-51.2196956,71.1399672,-46.205,4,
2022/07/05 15:05:57.4572,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,11.08,56.2,11.74,2022/07/04,00:18:44,-51.2195819,71.139922,-46.649,4,
2022/07/05 15:05:57.4828,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,11.06,56.2,11.74,2022/07/04,00:18:45,-51.2195235,71.1398985,-46.816,4,
2022/07/05 15:05:57.5091,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,11.07,56.3,11.73,2022/07/04,00:18:46,-51.2195483,71.1399049,-46.389,4,
2022/07/05 15:05:57.5349,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.21,11.05,56.3,11.73,2022/07/04,00:18:47,-51.2193975,71.1398526,-47.758,4,
2022/07/05 15:05:57.5607,0.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.22,11.05,56.3,11.74,2022/07/04,00:18:48,-51.2194834,71.1398814,-47.038,4,
2022/07/05 15:05:57.5861,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.24,11.04,56.4,11.73,2022/07/04,00:18:49,-51.2193911,71.1398497,-48.024,4,
2022/07/05 15:05:57.6121,0.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,11.03,56.4,11.73,2022/07/04,00:18:50,-51.2193087,71.1398218,-48.789,4,
2022/07/05 15:05:57.6388,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,11.01,56.4,11.71,2022/07/04,00:18:51,-51.2195335,71.139894,-46.443,4,
2022/07/05 15:05:57.6644,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.22,11,56.4,11.73,2022/07/04,00:18:52,-51.2197445,71.1399613,-43.947,4,
2022/07/05 15:05:57.6891,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,10.99,56.4,11.71,2022/07/04,00:18:53,-51.2198372,71.1399909,-42.206,4,
2022/07/05 15:05:57.7160,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,10.99,56.4,11.71,2022/07/04,00:18:54,-51.219752,71.1399662,-42.527,4,
2022/07/05 15:05:57.7421,1.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,10.98,56.3,11.71,2022/07/04,00:18:55,-51.219693,71.1399489,-42.722,4,
2022/07/05 15:05:57.7686,1.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,10.95,56.3,11.71,2022/07/04,00:18:56,-51.2196402,71.1399333,-42.605,4,
2022/07/05 15:05:57.7935,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.22,10.92,56.3,11.7,2022/07/04,00:18:57,-51.2196476,71.1399369,-42.13,4,
2022/07/05 15:05:57.8199,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,10.94,56.2,11.7,2022/07/04,00:18:58,-51.219765,71.1399718,-40.572,4,
2022/07/05 15:05:57.8466,1.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,10.95,56.2,11.7,2022/07/04,00:18:59,-51.2197844,71.1399789,-40.213,4,
2022/07/05 15:05:57.8720,1.190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,10.93,56.2,11.7,2022/07/04,00:19:00,-51.2198255,71.1399916,-39.4,4,
2022/07/05 15:05:57.8980,1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,10.92,56.1,11.7,2022/07/04,00:19:01,-51.2198562,71.1400003,-39.054,4,
2022/07/05 15:05:57.9225,1.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,10.89,56,11.7,2022/07/04,00:19:02,-51.2198482,71.1399996,-38.818,4,
2022/07/05 15:05:57.9501,1.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,10.91,56,11.68,2022/07/04,00:19:03,-51.2197542,71.1399733,-39.714,4,
2022/07/05 15:05:57.9756,1.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,10.93,56,11.68,2022/07/04,00:19:04,-51.2198236,71.1399931,-38.793,4,
2022/07/05 15:05:58.0030,1.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.22,10.87,56,11.68,2022/07/04,00:19:05,-51.2198722,71.1400076,-37.944,4,
2022/07/05 15:05:58.0279,1.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,10.86,56,11.67,2022/07/04,00:19:06,-51.2199261,71.1400239,-36.728,4,
2022/07/05 15:05:58.0547,1.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,10.87,56.1,11.67,2022/07/04,00:19:07,-51.2200295,71.1400556,-35.118,4,
2022/07/05 15:05:58.0798,1.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,10.86,56.2,11.67,2022/07/04,00:19:08,-51.2199738,71.1400399,-35.737,4,
2022/07/05 15:05:58.1069,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,10.85,56.2,11.68,2022/07/04,00:19:09,-51.2200133,71.1400515,-35.411,4,
2022/07/05 15:05:58.1323,1.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.2,10.82,56.3,11.68,2022/07/04,00:19:10,-51.2200753,71.1400686,-33.943,4,
2022/07/05 15:05:58.1588,1.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,10.82,56.3,11.67,2022/07/04,00:19:11,-51.2199999,71.1400449,-34.673,4,
2022/07/05 15:05:58.1840,1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.34,10.82,56.3,11.68,2022/07/04,00:19:12,-51.2197477,71.1399675,-36.938,4,
