Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022/07/08 10:31:15.7625,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.15,14.79,61.4,14.85,2022/07/08,10:31:13,-83.7336853,49.7227564,12441.426,0,
2022/07/08 10:31:16.3063,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,12.02,57.8,12.21,2022/07/07,14:21:26,-51.2213829,71.1404602,-3.463,5,
2022/07/08 10:31:16.3467,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.48,11.63,57.3,11.95,2022/07/07,14:21:27,-51.2213644,71.1404634,-2.496,5,
2022/07/08 10:31:16.3733,0.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.5,11.63,57.3,11.95,2022/07/07,14:21:28,-51.221355,71.140466,-1.362,5,
2022/07/08 10:31:16.3989,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,11.63,57.3,11.95,2022/07/07,14:21:29,-51.2213673,71.1404717,-0.149,5,
2022/07/08 10:31:16.4251,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.63,57.4,11.95,2022/07/07,14:21:30,-51.2213737,71.1404745,0.784,5,
2022/07/08 10:31:16.4509,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,11.63,57.4,11.95,2022/07/07,14:21:31,-51.2213764,71.1404713,0.332,6,
2022/07/08 10:31:16.4766,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.52,11.61,57.4,11.95,2022/07/07,14:21:32,-51.2213768,71.1404707,0.747,6,
2022/07/08 10:31:16.5028,0.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.51,11.61,57.4,11.96,2022/07/07,14:21:33,-51.2213647,71.1404651,0.076,6,
2022/07/08 10:31:16.5287,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.5,11.6,57.4,11.96,2022/07/07,14:21:34,-51.2213579,71.1404597,-0.459,6,
2022/07/08 10:31:16.5558,0.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,11.63,57.4,11.96,2022/07/07,14:21:35,-51.221363,71.1404566,-0.378,7,
2022/07/08 10:31:16.5809,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,11.6,57.4,11.96,2022/07/07,14:21:36,-51.2213673,71.1404547,-0.751,7,
2022/07/08 10:31:16.6069,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.6,57.4,11.98,2022/07/07,14:21:37,-51.2213723,71.1404573,-0.107,7,
2022/07/08 10:31:16.6329,0.870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.52,11.59,57.4,11.98,2022/07/07,14:21:38,-51.2213794,71.140457,-0.133,7,
2022/07/08 10:31:16.6589,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.57,11.61,57.5,11.96,2022/07/07,14:21:39,-51.2213968,71.140458,-0.085,7,
2022/07/08 10:31:16.6850,0.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.59,11.61,57.5,11.98,2022/07/07,14:21:40,-51.2214105,71.1404592,0.254,7,
2022/07/08 10:31:16.7108,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.55,11.61,57.6,11.96,2022/07/07,14:21:41,-51.2214242,71.1404597,0.664,7,
2022/07/08 10:31:16.7381,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.62,57.5,11.98,2022/07/07,14:21:42,-51.2214491,71.1404582,1.654,7,
2022/07/08 10:31:16.7630,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.62,57.6,11.98,2022/07/07,14:21:43,-51.2214429,71.1404566,1.726,7,
2022/07/08 10:31:16.7891,1.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.58,11.62,57.6,11.99,2022/07/07,14:21:44,-51.2214415,71.1404636,3.533,7,
2022/07/08 10:31:16.8063,1.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.56,11.62,57.6,11.98,2022/07/07,14:21:45,-51.2214494,71.1404656,4.301,7,
2022/07/08 10:31:16.8416,1.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.59,57.7,11.99,2022/07/07,14:21:46,-51.2214602,71.1404717,5.628,7,
2022/07/08 10:31:16.8670,1.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.55,11.6,57.7,11.98,2022/07/07,14:21:47,-51.2214684,71.1404755,4.808,7,
2022/07/08 10:31:16.8937,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.59,57.7,11.98,2022/07/07,14:21:48,-51.2214703,71.1404784,3.168,7,
2022/07/08 10:31:16.9191,1.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.55,11.59,57.7,11.98,2022/07/07,14:21:48,-51.2214703,71.1404784,3.168,7,
2022/07/08 10:31:16.9201,1.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.55,11.59,57.7,11.99,2022/07/07,14:21:49,-51.2214622,71.1404786,2.26,8,
2022/07/08 10:31:16.9403,1.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.54,11.57,57.7,11.99,2022/07/07,14:21:50,-51.2214555,71.1404772,1.925,8,
2022/07/08 10:31:16.9714,1.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.53,11.55,57.7,12,2022/07/07,14:21:51,-51.2214415,71.1404749,1.567,8,
2022/07/08 10:31:16.9970,1.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.57,11.59,57.7,12,2022/07/07,14:21:52,-51.2214251,71.1404717,1.387,8,
2022/07/08 10:31:17.0226,1.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.56,11.59,57.7,11.99,2022/07/07,14:21:53,-51.2214165,71.1404684,1.212,8,
2022/07/08 10:31:17.0490,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.57,11.6,57.7,12,2022/07/07,14:21:54,-51.221417,71.1404659,1.38,8,
2022/07/08 10:31:17.0757,1.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.56,11.61,57.7,12,2022/07/07,14:21:55,-51.2214147,71.1404639,1.554,7,
