Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022/05/25 14:24:21.1272,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968.56,-27.22,40.6,27.46,2015/10/18,00:00:12,0,0,-17,0,
2022/05/25 14:24:21.4349,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.66,-27.23,41.2,31.7,2022/05/25,11:41:30,15.4552775,47.0594086,543.359,4,
2022/05/25 14:24:21.4376,0.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.57,-26.52,41.3,31.7,2022/05/25,11:41:31,15.4552861,47.0594276,547.936,4,
2022/05/25 14:24:21.4671,0.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.61,-26.52,41.2,31.7,2022/05/25,11:41:32,15.4552883,47.0594294,549.127,4,
2022/05/25 14:24:21.4922,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,41,31.7,2022/05/25,11:41:33,15.4552996,47.0594102,549.264,4,
2022/05/25 14:24:21.5421,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.52,40.7,31.71,2022/05/25,11:41:34,15.4552915,47.0594364,551.3,4,
2022/05/25 14:24:21.5441,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.61,-26.52,39.8,31.7,2022/05/25,11:41:35,15.455284,47.0594623,553.413,4,
2022/05/25 14:24:21.5674,0.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.58,-26.52,34.7,31.65,2022/05/25,11:41:36,15.455261,47.0595345,557.924,4,
2022/05/25 14:24:21.5927,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.68,-26.52,35.3,31.64,2022/05/25,11:41:37,15.4551021,47.0600262,590.343,4,
2022/05/25 14:24:21.6410,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,37.1,31.64,2022/05/25,11:41:38,15.4548923,47.0606775,634.087,4,
2022/05/25 14:24:21.6420,0.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.52,39.1,31.65,2022/05/25,11:41:39,15.4554633,47.0587145,487.786,5,
2022/05/25 14:24:21.6709,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,40.6,31.65,2022/05/25,11:41:40,15.4555397,47.0584275,465.631,5,
2022/05/25 14:24:21.6964,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,40.8,31.68,2022/05/25,11:41:41,15.4555744,47.0582914,454.251,5,
2022/05/25 14:24:21.7285,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,40.6,31.71,2022/05/25,11:41:42,15.4555895,47.0582146,447.269,5,
2022/05/25 14:24:21.7443,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-27.23,41.2,31.71,2022/05/25,11:41:43,15.4556001,47.0581604,442.18,5,
2022/05/25 14:24:21.7758,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,41.4,31.72,2022/05/25,11:41:44,15.455614,47.058111,438.583,5,
2022/05/25 14:24:21.8226,0.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,41.7,31.74,2022/05/25,11:41:45,15.4556166,47.0580987,436.248,5,
2022/05/25 14:24:21.8243,0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.58,-26.52,42.8,31.76,2022/05/25,11:41:46,15.4556206,47.0580778,434.745,5,
2022/05/25 14:24:21.8534,0.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.65,-26.52,43.9,31.78,2022/05/25,11:41:47,15.4556209,47.0580678,433.694,5,
2022/05/25 14:24:21.9025,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,43.9,31.79,2022/05/25,11:41:48,15.4556208,47.0580621,432.021,5,
2022/05/25 14:24:21.9046,0.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,43.5,31.82,2022/05/25,11:41:49,15.4556264,47.0580347,429.787,5,
2022/05/25 14:24:21.9347,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.66,-26.52,43,31.82,2022/05/25,11:41:50,15.4556343,47.0580076,427.873,5,
2022/05/25 14:24:21.9580,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.52,41.7,31.83,2022/05/25,11:41:51,15.4556443,47.0579796,425.989,5,
2022/05/25 14:24:21.9892,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,41.5,31.85,2022/05/25,11:41:52,15.4556511,47.0579577,424.653,5,
2022/05/25 14:24:22.0048,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.65,-26.52,40.2,31.85,2022/05/25,11:41:53,15.4556593,47.0579315,422.771,5,
2022/05/25 14:24:22.0352,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,39.3,31.86,2022/05/25,11:41:54,15.4556662,47.0579094,421.15,5,
2022/05/25 14:24:22.0831,0.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,39.4,31.86,2022/05/25,11:41:55,15.4556736,47.0578869,419.465,5,
2022/05/25 14:24:22.0842,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-27.23,39.9,31.89,2022/05/25,11:41:56,15.4556804,47.0578681,417.999,5,
2022/05/25 14:24:22.1134,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.61,-26.52,41.1,31.9,2022/05/25,11:41:57,15.4556859,47.057851,416.568,5,
2022/05/25 14:24:22.1396,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,41.5,31.91,2022/05/25,11:41:58,15.4556911,47.0578391,415.457,5,
2022/05/25 14:24:22.1717,1.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,41,31.93,2022/05/25,11:41:59,15.4556927,47.0578337,414.794,5,
2022/05/25 14:24:22.1879,1.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,41,31.94,2022/05/25,11:42:00,15.4556921,47.0578335,414.562,5,
2022/05/25 14:24:22.2178,1.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.65,-26.52,41.2,31.97,2022/05/25,11:42:01,15.455852,47.0572824,371.979,8,
2022/05/25 14:24:22.2654,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,40.5,32,2022/05/25,11:42:02,15.4558476,47.057283,371.27,8,
2022/05/25 14:24:22.2659,1.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.52,39.3,32.01,2022/05/25,11:42:03,15.4558443,47.0572821,370.421,8,
2022/05/25 14:24:22.2939,1.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.65,-26.52,39.6,32.05,2022/05/25,11:42:04,15.4558415,47.0572818,369.581,8,
2022/05/25 14:24:22.3194,1.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-27.23,40.4,32.08,2022/05/25,11:42:05,15.45584,47.057281,368.918,8,
2022/05/25 14:24:22.3537,1.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,40,32.11,2022/05/25,11:42:06,15.4558393,47.0572807,368.428,8,
2022/05/25 14:24:22.3693,1.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,39.3,32.12,2022/05/25,11:42:07,15.4558387,47.0572804,368.063,8,
2022/05/25 14:24:22.3985,1.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.58,-27.23,39.4,32.15,2022/05/25,11:42:08,15.4558385,47.0572802,367.636,8,
2022/05/25 14:24:22.4484,1.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,40.1,32.17,2022/05/25,11:42:09,15.4558385,47.05728,367.374,9,
2022/05/25 14:24:22.4511,1.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-27.23,40.8,32.2,2022/05/25,11:42:10,15.455839,47.0572805,367.118,9,
2022/05/25 14:24:22.4785,1.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-27.23,41.3,32.23,2022/05/25,11:42:11,15.4558391,47.0572811,366.933,9,
2022/05/25 14:24:22.5244,1.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,41.7,32.26,2022/05/25,11:42:12,15.4558389,47.0572815,366.838,9,
2022/05/25 14:24:22.5262,1.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.52,42.1,32.3,2022/05/25,11:42:13,15.4558393,47.0572819,366.722,9,
2022/05/25 14:24:22.5538,1.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-27.23,42.6,32.34,2022/05/25,11:42:14,15.4558394,47.0572822,366.608,9,
2022/05/25 14:24:22.5801,1.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,43.2,32.38,2022/05/25,11:42:15,15.4558401,47.0572828,366.449,9,
2022/05/25 14:24:22.6125,1.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.66,-26.52,43.6,32.44,2022/05/25,11:42:16,15.4558413,47.0572837,366.204,9,
2022/05/25 14:24:22.6299,1.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.62,-26.52,43.6,32.48,2022/05/25,11:42:17,15.4558412,47.057284,365.805,9,
2022/05/25 14:24:22.6592,1.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,43.8,32.52,2022/05/25,11:42:18,15.455841,47.0572847,365.444,9,
2022/05/25 14:24:22.7060,1.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.64,-26.51,44,32.59,2022/05/25,11:42:19,15.4558418,47.0572859,365.073,9,
2022/05/25 14:24:22.7069,1.580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.63,-26.52,44.3,32.64,2022/05/25,11:42:20,15.4558435,47.0572869,365.069,9,
2022/05/25 14:24:22.7362,1.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-27.23,41.4,32.46,2022/05/25,11:42:21,15.4558443,47.0572877,364.98,9,
2022/05/25 14:24:22.7625,1.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6,-26.52,38,31.89,2022/05/25,11:42:22,15.4558433,47.0572872,365.203,9,
2022/05/25 14:24:22.7950,1.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.53,-26.52,33.9,31.79,2022/05/25,11:42:23,15.4558406,47.0572857,365.405,9,
2022/05/25 14:24:22.8105,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.5,-26.52,31.3,31.64,2022/05/25,11:42:24,15.4558333,47.0572837,365.763,9,
2022/05/25 14:24:22.8418,1.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.44,-27.23,30.6,31.31,2022/05/25,11:42:25,15.4558257,47.0572815,366.487,9,
2022/05/25 14:24:22.8886,1.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.37,-26.52,30.9,31.05,2022/05/25,11:42:26,15.4558228,47.0572814,366.867,9,
2022/05/25 14:24:22.8897,1.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.35,-26.51,31.2,31.04,2022/05/25,11:42:27,15.4558216,47.0572843,366.872,9,
2022/05/25 14:24:22.9189,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.27,-26.52,31.2,30.96,2022/05/25,11:42:28,15.4558165,47.0572889,366.891,9,
2022/05/25 14:24:22.9671,1.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.31,-26.51,33,30.78,2022/05/25,11:42:29,15.4558074,47.0572939,366.912,9,
2022/05/25 14:24:22.9726,1.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.29,-26.52,33.9,30.22,2022/05/25,11:42:30,15.4558016,47.0572989,367.221,9,
2022/05/25 14:24:22.9963,1.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.2,-26.52,34.8,30.21,2022/05/25,11:42:31,15.4557963,47.0573026,368.654,9,
2022/05/25 14:24:23.0216,1.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.1,-26.52,34.5,30.3,2022/05/25,11:42:32,15.4557913,47.0573031,369.847,9,
2022/05/25 14:24:23.0704,1.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.04,-26.52,33.4,30.33,2022/05/25,11:42:33,15.4557877,47.0573078,371.167,9,
2022/05/25 14:24:23.0713,1.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970.88,-27.23,33.3,30.34,2022/05/25,11:42:34,15.4557862,47.0573122,372.179,9,
2022/05/25 14:24:23.0995,1.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970.78,-26.52,33.3,30.36,2022/05/25,11:42:35,15.4557854,47.0573152,373.502,9,
